    *******************************************
    * Running Experiment 7
    * Time: 2024-07-26 15:25:36
    *******************************************



===Sample folder: samples=2,016===
Meta-Function=mean, Plot-Type=time_series, Window-Size=1: 0.932 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=10: 0.807 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=100: 0.848 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=1000: 0.791 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=1: 0.806 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=10: 0.8 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=100: 0.782 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=1000: 0.802 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=1: 0.746 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=10: 0.737 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=100: 0.719 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=1000: 0.754 seconds

Meta-Function=median, Plot-Type=time_series, Window-Size=1: 0.853 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=10: 0.827 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=100: 0.772 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=1000: 0.753 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=1: 0.773 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=10: 0.782 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=100: 0.787 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=1000: 0.797 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=1: 0.718 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=10: 0.745 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=100: 0.744 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=1000: 0.737 seconds


===Sample folder: samples=10,080===
Meta-Function=mean, Plot-Type=time_series, Window-Size=1: 4.591 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=10: 4.364 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=100: 4.241 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=1000: 4.114 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=1: 4.051 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=10: 4.103 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=100: 4.2 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=1000: 4.124 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=1: 4.101 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=10: 3.993 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=100: 3.903 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=1000: 3.996 seconds

Meta-Function=median, Plot-Type=time_series, Window-Size=1: 4.328 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=10: 4.367 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=100: 4.193 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=1000: 4.143 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=1: 4.038 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=10: 3.968 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=100: 3.96 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=1000: 4.093 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=1: 4.055 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=10: 3.888 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=100: 3.972 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=1000: 3.858 seconds


===Sample folder: samples=20,160===
Meta-Function=mean, Plot-Type=time_series, Window-Size=1: 15.779 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=10: 11.489 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=100: 12.081 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=1000: 12.408 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=1: 12.283 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=10: 12.54 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=100: 12.455 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=1000: 13.019 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=1: 9.947 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=10: 9.565 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=100: 9.797 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=1000: 8.847 seconds

Meta-Function=median, Plot-Type=time_series, Window-Size=1: 10.124 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=10: 10.917 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=100: 11.189 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=1000: 10.002 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=1: 9.993 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=10: 9.48 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=100: 9.999 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=1000: 9.41 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=1: 9.766 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=10: 9.557 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=100: 9.507 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=1000: 9.577 seconds


===Sample folder: samples=100,800===
Meta-Function=mean, Plot-Type=time_series, Window-Size=1: 85.413 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=10: 83.456 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=100: 82.507 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=1000: 85.365 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=1: 88.452 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=10: 87.491 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=100: 86.828 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=1000: 84.496 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=1: 84.42 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=10: 86.094 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=100: 84.977 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=1000: 85.05 seconds

Meta-Function=median, Plot-Type=time_series, Window-Size=1: 86.868 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=10: 92.524 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=100: 83.555 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=1000: 82.908 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=1: 83.634 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=10: 82.121 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=100: 80.999 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=1000: 81.695 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=1: 80.405 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=10: 81.016 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=100: 82.33 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=1000: 82.533 seconds


===Sample folder: samples=201,600===
Meta-Function=mean, Plot-Type=time_series, Window-Size=1: 186.245 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=10: 181.875 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=100: 196.484 seconds
Meta-Function=mean, Plot-Type=time_series, Window-Size=1000: 202.966 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=1: 199.925 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=10: 209.372 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=100: 202.467 seconds
Meta-Function=mean, Plot-Type=cumulative, Window-Size=1000: 200.126 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=1: 199.084 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=10: 191.633 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=100: 195.155 seconds
Meta-Function=mean, Plot-Type=cumulative_time_series, Window-Size=1000: 192.771 seconds

Meta-Function=median, Plot-Type=time_series, Window-Size=1: 202.0 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=10: 206.231 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=100: 194.001 seconds
Meta-Function=median, Plot-Type=time_series, Window-Size=1000: 194.508 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=1: 193.57 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=10: 179.128 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=100: 179.027 seconds
Meta-Function=median, Plot-Type=cumulative, Window-Size=1000: 185.673 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=1: 175.484 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=10: 185.355 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=100: 181.79 seconds
Meta-Function=median, Plot-Type=cumulative_time_series, Window-Size=1000: 178.161 seconds
