timestamp,price_per_t
2019-05-21,25.94
2019-05-22,26.93
2019-05-23,26.62
2019-05-24,26.03
2019-05-27,26.15
2019-05-28,26.05
2019-05-29,26.1
2019-05-30,25.87
2019-05-31,25.02
2019-06-03,24.33
2019-06-04,25.16
2019-06-05,24.86
2019-06-06,24.65
2019-06-07,25.22
2019-06-10,25.92
2019-06-11,25.67
2019-06-12,25.48
2019-06-13,25.63
2019-06-14,25.73
2019-06-17,25.72
2019-06-18,25.82
2019-06-19,25.67
2019-06-20,25.81
2019-06-21,26.03
2019-06-24,27.13
2019-06-25,27.21
2019-06-26,28.2
2019-06-27,27.7
2019-06-28,27.05
2019-07-01,27.72
2019-07-02,27.53
2019-07-03,27.33
2019-07-04,26.84
2019-07-05,27.21
2019-07-08,27.67
2019-07-09,27.42
2019-07-10,29.13
2019-07-11,29.19
2019-07-12,29.71
2019-07-15,29.99
2019-07-16,29.42
2019-07-17,29.42
2019-07-18,28.71
2019-07-19,29.85
2019-07-22,29.95
2019-07-23,30.76
2019-07-24,30.13
2019-07-25,29.94
2019-07-26,29.2
2019-07-29,29.3
2019-07-30,28.76
2019-07-31,28.84
2019-08-01,30.29
2019-08-02,30.08
2019-08-05,29.51
2019-08-06,29.19
2019-08-07,29.04
2019-08-08,29.28
2019-08-09,28.87
2019-08-12,27.43
2019-08-13,27.83
2019-08-14,27.65
2019-08-15,26.72
2019-08-16,26.67
2019-08-19,27.28
2019-08-20,26.97
2019-08-21,26.72
2019-08-22,26.36
2019-08-23,25.79
2019-08-26,26.52
2019-08-27,26.08
2019-08-28,26.66
2019-08-29,27.12
2019-08-30,26.95
2019-09-02,25.8
2019-09-03,25.83
2019-09-04,26.1
2019-09-05,26.11
2019-09-06,25.67
2019-09-09,25.6
2019-09-10,27.31
2019-09-11,26.88
2019-09-12,27.04
2019-09-13,27
2019-09-16,27.68
2019-09-17,26.85
2019-09-18,26.07
2019-09-19,26.58
2019-09-20,27.18
2019-09-23,26.43
2019-09-24,26.17
2019-09-25,25.86
2019-09-26,26.29
2019-09-27,25.94
2019-09-30,25.36
2019-10-01,25.65
2019-10-02,24.8
2019-10-03,23.8
2019-10-04,23.53
2019-10-07,23.98
2019-10-08,23.12
2019-10-09,23.21
2019-10-10,23.8
2019-10-11,24.98
2019-10-14,24.69
2019-10-15,26.27
2019-10-16,26.86
2019-10-17,26.62
2019-10-18,26.43
2019-10-21,26.46
2019-10-22,26.17
2019-10-23,25.25
2019-10-24,25.94
2019-10-25,25.46
2019-10-28,25.59
2019-10-29,25.91
2019-10-30,26.43
2019-10-31,26.03
2019-11-01,25.7
2019-11-04,26.03
2019-11-05,25.91
2019-11-06,25.19
2019-11-07,25.33
2019-11-08,25.23
2019-11-11,25.31
2019-11-12,24.49
2019-11-13,24.76
2019-11-14,24.33
2019-11-15,24.23
2019-11-18,23.79
2019-11-19,23.83
2019-11-20,24.41
2019-11-21,24.32
2019-11-22,24.97
2019-11-25,24.83
2019-11-26,24.78
2019-11-27,25.51
2019-11-28,25.4
2019-11-29,25.61
2019-12-02,24.72
2019-12-03,24.4
2019-12-04,25.14
2019-12-05,25.09
2019-12-06,25.34
2019-12-09,25.53
2019-12-10,25.34
2019-12-11,24.86
2019-12-12,25.46
2019-12-13,24.38
2019-12-16,25.2
2019-12-17,26.29
2019-12-18,26.81
2019-12-19,27.06
2019-12-20,26.89
2019-12-23,26.76
2019-12-24,26.3
2019-12-26,26.3
2019-12-27,26.93
2019-12-30,25.31
2019-12-31,24.86
2020-01-02,24.58
2020-01-03,25.18
2020-01-06,24.43
2020-01-07,24.75
2020-01-08,24.28
2020-01-09,24.88
2020-01-10,24.42
2020-01-13,24.35
2020-01-14,24.06
2020-01-15,24.73
2020-01-16,25.06
2020-01-17,25.66
2020-01-20,25.38
2020-01-21,25.13
2020-01-22,25.22
2020-01-23,24.9
2020-01-24,24.57
2020-01-27,24.77
2020-01-28,24.82
2020-01-29,24.17
2020-01-30,23.91
2020-01-31,24.06
2020-02-03,23.39
2020-02-04,23.54
2020-02-05,23.95
2020-02-06,23.74
2020-02-07,23.51
2020-02-10,23.34
2020-02-11,23.5
2020-02-12,24.07
2020-02-13,24.59
2020-02-14,24.48
2020-02-17,25.24
2020-02-18,25.33
2020-02-19,25.9
2020-02-20,25.83
2020-02-21,25.8
2020-02-24,24.77
2020-02-25,24.38
2020-02-26,24.45
2020-02-27,23.78
2020-02-28,23.8
2020-03-02,23.71
2020-03-03,23.55
2020-03-04,24.02
2020-03-05,23.99
2020-03-06,23.6
2020-03-09,23.46
2020-03-10,24.28
2020-03-11,24.1
2020-03-12,22.72
2020-03-13,22.14
2020-03-16,19.72
2020-03-17,18.69
2020-03-18,15.71
2020-03-19,16.76
2020-03-20,16.44
2020-03-23,15.88
2020-03-24,17.11
2020-03-25,17.86
2020-03-26,17.7
2020-03-27,16.74
2020-03-30,17.41
2020-03-31,18.03
2020-04-01,17.43
2020-04-02,18.42
2020-04-03,18.33
2020-04-06,20.77
2020-04-07,20.89
2020-04-08,21.53
2020-04-09,21.46
2020-04-13,21.46
2020-04-14,20.18
2020-04-15,19.64
2020-04-16,21.31
2020-04-17,22.08
2020-04-20,21.76
2020-04-21,20.23
2020-04-22,21.04
2020-04-23,21.41
2020-04-24,21.12
2020-04-27,20.66
2020-04-28,20.59
2020-04-29,20.57
2020-04-30,19.94
2020-05-01,19.34
2020-05-04,19.72
2020-05-05,19.46
2020-05-06,19.38
2020-05-07,19.91
2020-05-08,19.73
2020-05-11,19.44
2020-05-12,18.89
2020-05-13,19.04
2020-05-14,19.2
2020-05-15,19.54
2020-05-18,20.71
2020-05-19,20.33
2020-05-20,21.63
2020-05-21,21.55
2020-05-22,21.77
2020-05-25,21.96
2020-05-26,21.97
2020-05-27,21.7
2020-05-28,21.62
2020-05-29,21.76
2020-06-01,21.33
2020-06-02,22.42
2020-06-03,22.43
2020-06-04,22.56
2020-06-05,23.59
2020-06-08,23.05
2020-06-09,22.82
2020-06-10,23.25
2020-06-11,22.61
2020-06-12,22.35
2020-06-15,22.51
2020-06-16,23.13
2020-06-17,23.1
2020-06-18,24.8
2020-06-19,24.49
2020-06-22,24.86
2020-06-23,25.73
2020-06-24,25.72
2020-06-25,25.5
2020-06-26,25.05
2020-06-29,26.94
2020-06-30,27.27
2020-07-01,28.01
2020-07-02,27.66
2020-07-03,28.21
2020-07-06,30.01
2020-07-07,29.7
2020-07-08,29.63
2020-07-09,28.92
2020-07-10,29.34
2020-07-13,29.68
2020-07-14,30
2020-07-15,29.21
2020-07-16,27.08
2020-07-17,28.22
2020-07-20,26.58
2020-07-21,26.99
2020-07-22,27.01
2020-07-23,27.71
2020-07-24,26.75
2020-07-27,25.38
2020-07-28,26.11
2020-07-29,26.55
2020-07-30,25.9
2020-07-31,26.64
2020-08-03,26.48
2020-08-04,27.17
2020-08-05,27.11
2020-08-06,26.74
2020-08-07,26.77
2020-08-10,27.05
2020-08-11,26.53
2020-08-12,26.32
2020-08-13,25.78
2020-08-14,25.83
2020-08-17,26.64
2020-08-18,26.89
2020-08-19,26.57
2020-08-20,26.24
2020-08-21,25.98
2020-08-24,27.82
2020-08-25,28.96
2020-08-26,28.97
2020-08-27,28.73
2020-08-28,29.88
2020-08-31,29.02
2020-09-01,28.1
2020-09-02,28.58
2020-09-03,29.08
2020-09-04,27.7
2020-09-07,27.39
2020-09-08,27.13
2020-09-09,27.52
2020-09-10,28.73
2020-09-11,28.56
2020-09-14,30.77
2020-09-15,30.1
2020-09-16,30.28
2020-09-17,28.72
2020-09-18,28.27
2020-09-21,26.66
2020-09-22,28.08
2020-09-23,26.73
2020-09-24,27.01
2020-09-25,26.38
2020-09-28,27.92
2020-09-29,27
2020-09-30,27.14
2020-10-01,26.72
2020-10-02,27.24
2020-10-05,27.15
2020-10-06,27
2020-10-07,27.1
2020-10-08,26.54
2020-10-09,25.91
2020-10-12,26.07
2020-10-13,25.41
2020-10-14,25.94
2020-10-15,25.16
2020-10-16,25.07
2020-10-19,25.17
2020-10-20,24.6
2020-10-21,23.76
2020-10-22,24.37
2020-10-23,25.67
2020-10-26,24.04
2020-10-27,24.24
2020-10-28,23.21
2020-10-29,23.84
2020-10-30,23.88
2020-11-02,23.84
2020-11-03,24.55
2020-11-04,25.27
2020-11-05,26.14
2020-11-06,25.56
2020-11-09,26.69
2020-11-10,26.37
2020-11-11,26.26
2020-11-12,26.05
2020-11-13,26.41
2020-11-16,27.52
2020-11-17,26.77
2020-11-18,27.33
2020-11-19,26.49
2020-11-20,26.89
2020-11-23,27.41
2020-11-24,27.79
2020-11-25,27.79
2020-11-26,28.29
2020-11-27,28.33
2020-11-30,29.34
2020-12-01,29.07
2020-12-02,29.75
2020-12-03,29.2
2020-12-04,30.31
2020-12-07,29.82
2020-12-08,29.77
2020-12-09,29.91
2020-12-10,31.12
2020-12-11,30.73
2020-12-14,31.01
2020-12-15,32.18
2020-12-16,31.78
2020-12-17,31.96
2020-12-18,31.1
2020-12-21,30.89
2020-12-22,31.15
2020-12-23,31.92
2020-12-24,32.19
2020-12-28,33.44
2020-12-29,33.02
2020-12-30,32.19
2020-12-31,32.72
2021-01-04,33.69
2021-01-05,32.96
2021-01-06,33.63
2021-01-07,34.76
2021-01-08,34.92
2021-01-11,34.53
2021-01-12,34.66
2021-01-13,33.65
2021-01-14,33.53
2021-01-15,31.74
2021-01-18,31.62
2021-01-19,33.09
2021-01-20,32.91
2021-01-21,34.11
2021-01-22,34.24
2021-01-25,33.16
2021-01-26,33.35
2021-01-27,33.28
2021-01-28,33.95
2021-01-29,32.95
2021-02-01,32.85
2021-02-02,34.97
2021-02-03,37.43
2021-02-04,37.27
2021-02-05,38.2
2021-02-08,38.61
2021-02-09,38.26
2021-02-10,39.33
2021-02-11,38.76
2021-02-12,40.02
2021-02-15,39.52
2021-02-16,38.86
2021-02-17,38.09
2021-02-18,38.32
2021-02-19,37.4
2021-02-22,37.96
2021-02-23,38.67
2021-02-24,39.15
2021-02-25,38.26
2021-02-26,37.28
2021-03-01,37.13
2021-03-02,38.35
2021-03-03,37.47
2021-03-04,38.16
2021-03-05,39.02
2021-03-08,39.13
2021-03-09,40.65
2021-03-10,41.54
2021-03-11,41.93
2021-03-12,42.85
2021-03-15,42.39
2021-03-16,41.6
2021-03-17,42.99
2021-03-18,42.4
2021-03-19,41.97
2021-03-22,42.84
2021-03-23,41.43
2021-03-24,41.6
2021-03-25,40.35
2021-03-26,41.73
2021-03-29,41.85
2021-03-30,42.05
2021-03-31,42.55
2021-04-01,42.47
2021-04-05,42.47
2021-04-06,44.24
2021-04-07,43.86
2021-04-08,43.48
2021-04-09,43.64
2021-04-12,44.48
2021-04-13,43.85
2021-04-14,43.82
2021-04-15,44.16
2021-04-16,44.42
2021-04-19,44.35
2021-04-20,44.89
2021-04-21,45.91
2021-04-22,47.09
2021-04-23,46.95
2021-04-26,47.2
2021-04-27,47.3
2021-04-28,47.79
2021-04-29,48.02
2021-04-30,48.84
2021-05-03,49.42
2021-05-04,48.61
2021-05-05,49.45
2021-05-06,49.94
2021-05-07,50.45
2021-05-10,52.22
2021-05-11,53.04
2021-05-12,55.32
2021-05-13,54.49
2021-05-14,56.65
2021-05-17,56.34
2021-05-18,53.07
2021-05-19,49.68
2021-05-20,52.7
2021-05-21,51.75
2021-05-24,52.77
2021-05-25,53.32
2021-05-26,53.67
2021-05-27,51.84
2021-05-28,51.03
2021-05-31,51.7
2021-06-01,52.41
2021-06-02,51.4
2021-06-03,50.24
2021-06-04,49.97
2021-06-07,51.47
2021-06-08,52.17
2021-06-09,53.51
2021-06-10,53.78
2021-06-11,52.67
2021-06-14,52.9
2021-06-15,51.4
2021-06-16,51.34
2021-06-17,50.91
2021-06-18,51.9
2021-06-21,52.42
2021-06-22,53.41
2021-06-23,54.67
2021-06-24,55.09
2021-06-25,55.05
2021-06-28,55.5
2021-06-29,55.64
2021-06-30,56.37
2021-07-01,57.65
2021-07-02,57.35
2021-07-05,57.87
2021-07-06,54.02
2021-07-07,52.62
2021-07-08,52.35
2021-07-09,54.26
2021-07-12,51.71
2021-07-13,52.85
2021-07-14,53.37
2021-07-15,52.97
2021-07-16,52.89
2021-07-19,52.41
2021-07-20,51.21
2021-07-21,52.14
2021-07-22,50.79
2021-07-23,50.89
2021-07-26,53.2
2021-07-27,52.91
2021-07-28,53.84
2021-07-29,54.05
2021-07-30,53.33
2021-08-02,54.43
2021-08-03,54.19
2021-08-04,55.46
2021-08-05,55.98
2021-08-06,56.66
2021-08-09,56.62
2021-08-10,57.41
2021-08-11,57.78
2021-08-12,56.26
2021-08-13,55.38
2021-08-16,58.16
2021-08-17,57.23
2021-08-18,57.13
2021-08-19,53.5
2021-08-20,54.38
2021-08-23,55.34
2021-08-24,56.64
2021-08-25,56.54
2021-08-26,56.86
2021-08-27,59
2021-08-30,60.76
2021-08-31,60.76
2021-09-01,60.12
2021-09-02,61.52
2021-09-03,61.32
2021-09-06,62.31
2021-09-07,61.99
2021-09-08,62.45
2021-09-09,62.75
2021-09-10,60.92
2021-09-13,61.07
2021-09-14,59.85
2021-09-15,59.86
2021-09-16,59.31
2021-09-17,59.48
2021-09-20,60.68
2021-09-21,60.16
2021-09-22,60.6
